business_id,name,photos
3cNLpk5HmmnXptjwg-KN-w,Restaurant Mumi,"['https://s3-media4.fl.yelpcdn.com/bphoto/XB3ykfvLEIDOGV7CQfv2pw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/7QFpzb3U297eUIKc-vdnCQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/YC_GqGGlCZbKHQwAWvQTEw/o.jpg']"
3J-vi78uhe3fZEOJDVBXqg,Le Bar du Caveau,"['https://s3-media2.fl.yelpcdn.com/bphoto/tFM3Bg52SzP-0zNGYBPo9w/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/UnYWCjyo4vrOqDNAbAn0sw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/oiAx22sq7nYOvMnhRMQOpw/o.jpg']"
sELjVQsud9aKqLhBC9vNqw,Pontochoux,"['https://s3-media2.fl.yelpcdn.com/bphoto/uHwH0v3Ja4AqFGdt9GO71g/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/4e_a9z2sOMJL-0IsPE0aSg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/WvncaFo7jDHzYTr5K2017w/o.jpg']"
5PPRzntCCI_2wIp0g3SWwQ,Banh Mi,"['https://s3-media1.fl.yelpcdn.com/bphoto/S9fpPi2qTEPXKf7_tzO7tw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/gIZpumOHcDP2Oes4En6Vug/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/1Np8wGZm1-of8MdzobgUCQ/o.jpg']"
zhHxYO0gH9Gh53D_J8XeOQ,L'Auberge Café,"['https://s3-media2.fl.yelpcdn.com/bphoto/iOBEyB0gTzQThCplVlpT2g/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/TtMBNHfSstM2Coyf33Fe8A/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/Y5x0070D27x63dtdcYn0KA/o.jpg']"
tHtuj2ZN1o9IeF0y_szf9g,Jantchi,"['https://s3-media2.fl.yelpcdn.com/bphoto/LGBZgLPgedymINs8bx5Sww/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/McCiJh9jgXjOtla6tqrXXQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/2h_3FY5qRJQfN7vGDpJ7rg/o.jpg']"
lBueZXrEbdSdvujDlQUB-w,Le Louchébem,"['https://s3-media4.fl.yelpcdn.com/bphoto/pF9Dw8Bd__ZRc1xovFkiug/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/0svGxoTrh8dNopyUwyTNqA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/tP9J6L6m82XJL-O1R-iEQQ/o.jpg']"
JYJ0y_1we1IzMZ-UPVCQEg,Chez la Vieille,"['https://s3-media4.fl.yelpcdn.com/bphoto/LrPlbSRLbJ37Cqe4ktK6vg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/cOeWtLVZ9moA1hfwDn3o2w/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/vPsKsshnd8VChbXvUyoj_A/o.jpg']"
oBry7omEm5kavp_l86AjCA,Khajuraho,"['https://s3-media2.fl.yelpcdn.com/bphoto/-58AjkexdbsyY8VRRTboaQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/cFY2rruYiAN-SJwA8PiNYg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/c8kY_T6-cRW7sDhiwmm3_A/o.jpg']"
kNOHh6Lc0O9pCaJx6wo2Gw,Yam'Tcha,"['https://s3-media3.fl.yelpcdn.com/bphoto/OV-FUVlxRHJuKXkUvtcTnA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/qqAsvRdlb3rrthIs3vhoNQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/dbydlWFjCFllOtrycwALjg/o.jpg']"
p2GMgZVjGWfp9Osi6c9hNw,La Maison du Dim Sum,"['https://s3-media3.fl.yelpcdn.com/bphoto/MkAQm04nK0o-_tLLJDftTA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/PFsabVMutuJLJNxGvrhkGQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/P_kFTs-Og6bVzTeTrodzIw/o.jpg']"
6Hez13kI0lVQnWMMx4U6fQ,Il Ristretto,"['https://s3-media4.fl.yelpcdn.com/bphoto/5odYQ0u70W1pGZD8e6boLg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Mc9XlNR7t_j2hWR4ChaaEQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Rpd4DjT7vV7K7ml3Oq4zBw/o.jpg']"
UOM40oa0nkZjzP5d7pmFzw,Bistrot Vivienne,"['https://s3-media1.fl.yelpcdn.com/bphoto/eNq2dF5xRGQxKA_D3jp1Gw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/-OaBYrTOos3uFhxs20C1Cg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/eosVD0SgTLWj1xJReyG6PA/o.jpg']"
ML5YEWSl3K-5-2vO35RVpQ,Brasserie de la Bourse,"['https://s3-media1.fl.yelpcdn.com/bphoto/RIPVakzQgD-sXOJz7RDPaQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/IzyIjtIiE9bHaMsXTpwn6g/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/aWhns-yh3aU9ai4n1woAkg/o.jpg']"
e3LQ6AyQutKRM7ETJaa4Vg,Norma,"['https://s3-media1.fl.yelpcdn.com/bphoto/-_8ElazwjvA2o2FSQlLakA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/py8nNEFGic9aeCjtMM2OHA/o.jpg']"
MqdwabesLORy1qtSiv2NKA,Le Colimaçon,"['https://s3-media3.fl.yelpcdn.com/bphoto/vkgbLlIECI0jP6DU4rT7zg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/nDPTib6pEqFxn8fAg9ht4g/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/IDs9QpSeGJc9334q4EhA1Q/o.jpg']"
uXZerrwr1lMur96Zx2wGCQ,L'Angolo,"['https://s3-media1.fl.yelpcdn.com/bphoto/vu28eV3muFrVaiv4RwD79g/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/hhORH7LyPH1DxUOFiZe2NA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/m8l296yegevsYR8ZLXFBCw/o.jpg']"
rbBs01WKKsVZG61q5IwJ_w,Holybelly 5,"['https://s3-media2.fl.yelpcdn.com/bphoto/4EvXgjj0spXR_F-Uej9Csw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/AcShdtEHCO4uAkCMmuwQKg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/cynfTIRfGrHNWZ_UF49_sg/o.jpg']"
tM2GensNFi0OjEDhrbA4TQ,Lion Sot,"['https://s3-media3.fl.yelpcdn.com/bphoto/100IqkXG7aBM0HII9gZQ1A/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/jwrBCBRTZRt8o90L7uNQCA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/pgBi-9gK9zJsK2qnAOceRw/o.jpg']"
xcC4XZCk2cSPxfHGKcGfPg,Chez Alain Miam Miam,"['https://s3-media3.fl.yelpcdn.com/bphoto/VXCpqumlx9yx8HuimnHaSw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/CpgjXYN5k3DO60HTIgYYnw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/E8jFGifSqk8FjRHUoJI8FQ/o.jpg']"
ZcmC2dyO-PT_vagdmx3u9g,Kitchen,"['https://s3-media2.fl.yelpcdn.com/bphoto/J0N0hyXoNOz-09u3QkLEhA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/wf-R55KYJNyIPRFDsnLqxA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/aimbqmNjFV6KlAUeXl2mGA/o.jpg']"
dxcHp_NAnO2e_BvR_pY4Nw,Janine loves Sunday,"['https://s3-media3.fl.yelpcdn.com/bphoto/-4LfhalCCTTIJo_-x2s_ug/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/egzKGs3D2O_MTk-kpOmy1Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Cco2eFtgj6p-6HhH7J27ZA/o.jpg']"
JAvCagWNHVKEi-MbpvEcHw,Le Potager du Marais,"['https://s3-media4.fl.yelpcdn.com/bphoto/XGZFZzTty4Db9oqG8wtQbQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Sk8eSBcUncabjoy32LGV6w/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/lOYr92ejSn_TG6bcLJ_e8A/o.jpg']"
nnAxF4EKaf7yLbLGxkShmQ,Le Calife,"['https://s3-media3.fl.yelpcdn.com/bphoto/y6xNtFdSU9MiA23KLIVGxg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/fqKEjx7Xuj_yzWjlsnJtnQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/2IVY88kKosEd0Q40Hpm1Vw/o.jpg']"
-fuUNED7ux_Q1JGbZyf7gA,Roomies,"['https://s3-media2.fl.yelpcdn.com/bphoto/kYoj3B9Ra22FpZVyHS6m4A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/_25KfrARpU4d-blWMx6-Zg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/7gxlK1lqnIoEqGbLpyc4lw/o.jpg']"
N3zQ7Y52QXRnfQy_Gri3yw,Claus - La Table du Petit-Déjeuner,"['https://s3-media4.fl.yelpcdn.com/bphoto/nbf5H1U-tKFFoqNbt57I5A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/DDQq4Sw2NbPzoBp4rFCg-w/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/gOX1537mUJiCtiNSxPFu9w/o.jpg']"
_MNAGLsoe_vihaXk6tpffw,Le Bistrot d'Henri,"['https://s3-media4.fl.yelpcdn.com/bphoto/mP9OGP36IGa3R5hCYf81ZA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/gC_oeAnB62m_mr48sQKSgQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/QIuhhyXJSsJM_V_YeBUdtw/o.jpg']"
